Тип пробела,Компания,Частота,Процент
Конкурент доминирует в проблемном сценарии,Нет,2,3.12
Конкурент доминирует в проблемном сценарии,бренда,2,3.12
Конкурент доминирует в проблемном сценарии,Joonies,2,3.12
Конкурент доминирует в проблемном сценарии,YokoSun,2,3.12
Конкурент доминирует в проблемном сценарии,Faberlic,1,1.56
Конкурент доминирует в проблемном сценарии,Tena,1,1.56
Конкурент доминирует в проблемном сценарии,Доктор,1,1.56
Конкурент доминирует в проблемном сценарии,Слон,1,1.56
Конкурент доминирует в проблемном сценарии,Royal,1,1.56
Конкурент доминирует в проблемном сценарии,Canin,1,1.56
Конкурент доминирует в проблемном сценарии,репейное,1,1.56
Конкурент доминирует в проблемном сценарии,масло,1,1.56
Конкурент доминирует в проблемном сценарии,Offspring,1,1.56
Конкурент доминирует в проблемном сценарии,Premium,1,1.56
Конкурент доминирует в проблемном сценарии,Bella,1,1.56
Конкурент доминирует в проблемном сценарии,Baby,1,1.56
Конкурент доминирует в проблемном сценарии,Happy,1,1.56
Конкурент доминирует в проблемном сценарии,Momi,1,1.56
Конкурент доминирует в проблемном сценарии,Lovular,1,1.56
Конкурент доминирует в проблемном сценарии,Junion,1,1.56
Конкурент доминирует в проблемном сценарии,Supergreen,1,1.56
Конкурент доминирует в проблемном сценарии,HIYA,1,1.56
Конкурент доминирует в проблемном сценарии,Лесной,1,1.56
Конкурент доминирует в проблемном сценарии,бальзам,1,1.56
Конкурент доминирует в проблемном сценарии,Biomed,1,1.56
Конкурент доминирует в проблемном сценарии,Sensodyne,1,1.56
Конкурент доминирует в проблемном сценарии,R.O.C.S.,1,1.56
Конкурент доминирует в проблемном сценарии,Sangi,1,1.56
Конкурент доминирует в проблемном сценарии,Чистая,1,1.56
Конкурент доминирует в проблемном сценарии,Линия,1,1.56
Конкурент доминирует в проблемном сценарии,Рексона,1,1.56
Конкурент доминирует в проблемном сценарии,Men,1,1.56
Конкурент доминирует в проблемном сценарии,SYNERGETIC,1,1.56
Конкурент доминирует в проблемном сценарии,NaturalSupp,1,1.56
Конкурент доминирует в проблемном сценарии,СВОБОДА,1,1.56
Конкурент доминирует в проблемном сценарии,Natural,1,1.56
Конкурент доминирует в проблемном сценарии,FRUCTIS,1,1.56
Конкурент доминирует в проблемном сценарии,(без,1,1.56
Конкурент доминирует в проблемном сценарии,брендов),1,1.56
Конкурент доминирует в проблемном сценарии,Vichy,1,1.56
Конкурент доминирует в проблемном сценарии,Moony,1,1.56
Конкурент доминирует в проблемном сценарии,TokiBaby,1,1.56
