категория,тип_запроса,gap_label,лидер,упоминаний
hair care,категорийный,Отсутствует,Mixit,1
hair care,категорийный,Отсутствует,NATURE.med,1
hair care,категорийный,Отсутствует,NIVEA,1
hair care,категорийный,Отсутствует,Natura Siberica,1
hair care,категорийный,Отсутствует,Nollam Lab,1
hair care,категорийный,Отсутствует,OIL PREMIUM,1
hair care,категорийный,Отсутствует,Ollin Professional,1
hair care,категорийный,Отсутствует,PHYTORELAX,1
hair care,категорийный,Отсутствует,PUNCHLINE COSMETICS,1
hair care,категорийный,Отсутствует,ROYAL SAMPLES,1
hair care,категорийный,Отсутствует,Repute,1
hair care,категорийный,Отсутствует,Retrieve,1
hair care,категорийный,Отсутствует,Savonry,1
hair care,категорийный,Отсутствует,Sebu-Balance,1
hair care,категорийный,Отсутствует,Sim Sensitive,1
hair care,категорийный,Отсутствует,Sueno,1
hair care,категорийный,Отсутствует,Svoboda Natural,1
hair care,категорийный,Отсутствует,Svoboda natural,1
hair care,категорийный,Отсутствует,URAL LAB,1
hair care,категорийный,Отсутствует,URIAGE,1
hair care,категорийный,Отсутствует,Yves Rocher,1
hair care,категорийный,Отсутствует,ZEITUN,1
hair care,категорийный,Отсутствует,Zeitun,1
hair care,категорийный,Отсутствует,Алерана,1
hair care,категорийный,Отсутствует,Аптечка Агафьи,1
hair care,категорийный,Отсутствует,Лошадиная Сила,1
hair care,категорийный,Отсутствует,МАСТ ХЭВ,1
hair care,категорийный,Отсутствует,Мирролла,1
hair care,категорийный,Отсутствует,ОрганикФарм,1
hair care,консультационный,Конкурент (консульт.),L'Oreal,3
hair care,консультационный,Конкурент (консульт.),Dove,1
hair care,консультационный,Конкурент (консульт.),Grass,1
hair care,консультационный,Конкурент (консульт.),Nivea,1
hair care,консультационный,Конкурент (консульт.),Shauma,1
hair care,консультационный,Конкурент (консульт.),Wella,1
hair care,консультационный,Конкурент (консульт.),Алиса,1
hair care,консультационный,Конкурент (консульт.),Чистая Линия,1
hair care,консультационный,Не лидирует,SYNERGETIC,2
hair care,консультационный,Не лидирует,Clear,1
hair care,консультационный,Не лидирует,DREAM NATURE,1
hair care,консультационный,Не лидирует,Exxe,1
hair care,консультационный,Не лидирует,Lion,1
hair care,консультационный,Не лидирует,NIVEA,1
hair care,консультационный,Не лидирует,Nivea,1
hair care,консультационный,Не лидирует,Белита-Витэкс,1
hair care,консультационный,Не лидирует,Чистая линия,1
hair care,консультационный,Отсутствует,L'Oreal,3
hair care,консультационный,Отсутствует,Ollin,2
hair care,консультационный,Отсутствует,Vichy,2
hair care,консультационный,Отсутствует,отсутствует,2
hair care,консультационный,Отсутствует,AQUA FORCE,1
hair care,консультационный,Отсутствует,AXE ANTI HANGOVER,1
hair care,консультационный,Отсутствует,AxiOne,1
hair care,консультационный,Отсутствует,Deonica for men,1
hair care,консультационный,Отсутствует,Dove,1
hair care,консультационный,Отсутствует,ESTEL,1
hair care,консультационный,Отсутствует,Ecolatier,1
hair care,консультационный,Отсутствует,Grass,1
hair care,консультационный,Отсутствует,Ichthyonella,1
hair care,консультационный,Отсутствует,Kerasys,1
hair care,консультационный,Отсутствует,L'Occitane,1
hair care,консультационный,Отсутствует,MIXIT,1
hair care,консультационный,Отсутствует,Nivea,1
hair care,консультационный,Отсутствует,Palmolive,1
hair care,консультационный,Отсутствует,Physiogel,1
hair care,консультационный,Отсутствует,Shauma,1
hair care,консультационный,Отсутствует,Touch For You,1
hair care,консультационный,Отсутствует,URAL LAB,1
hair care,консультационный,Отсутствует,VOLCANO ENERGY,1
hair care,консультационный,Отсутствует,Wella,1
hair care,консультационный,Отсутствует,YESBABY,1
hair care,консультационный,Отсутствует,Алиса,1
hair care,консультационный,Отсутствует,Рексона,1
hair care,консультационный,Отсутствует,Ушастый Нянь,1
hair care,консультационный,Отсутствует,Чистая Линия,1
hair care,консультационный,Отсутствует,бренды не указаны,1
hair care,сравнительный,Конкурент (сравнит.),ARAVIA,1
hair care,сравнительный,Конкурент (сравнит.),Dove,1
hair care,сравнительный,Конкурент (сравнит.),L'Oreal,1
hair care,сравнительный,Конкурент (сравнит.),Vichy,1
hair care,сравнительный,Конкурент (сравнит.),нет явного лидера,1
hair care,сравнительный,Отсутствует,ARAVIA,1
hair care,сравнительный,Отсутствует,BYPHASSE,1
hair care,сравнительный,Отсутствует,DSD de Luxe,1
hair care,сравнительный,Отсутствует,Dove,1
hair care,сравнительный,Отсутствует,Kaaral,1
hair care,сравнительный,Отсутствует,L'Oreal,1
hair care,сравнительный,Отсутствует,Librederm,1
hair care,сравнительный,Отсутствует,MinoMax,1
hair care,сравнительный,Отсутствует,Sim Sensitive,1
hair care,сравнительный,Отсутствует,Vichy,1
oral care,категорийный,Не лидирует,B.Well,1
oral care,категорийный,Не лидирует,Colgate,1
oral care,категорийный,Не лидирует,Elmex,1
oral care,категорийный,Не лидирует,PresiDENT,1
oral care,категорийный,Не лидирует,R.O.C.S.,1
oral care,категорийный,Не лидирует,Splat,1
oral care,категорийный,Отсутствует,R.O.C.S.,6
oral care,категорийный,Отсутствует,Sensodyne,4
oral care,категорийный,Отсутствует,Splat,4
oral care,категорийный,Отсутствует,Colgate,3
oral care,категорийный,Отсутствует,Elmex,3
oral care,категорийный,Отсутствует,Lacalut,3
oral care,категорийный,Отсутствует,Philips,2
oral care,категорийный,Отсутствует,Xiaomi,2
oral care,категорийный,Отсутствует,Асепта,2
oral care,категорийный,Отсутствует,B.Well,1
oral care,категорийный,Отсутствует,Bopakids,1
oral care,категорийный,Отсутствует,Grass,1
oral care,категорийный,Отсутствует,Oclean,1
oral care,категорийный,Отсутствует,Perioe,1
oral care,категорийный,Отсутствует,PresiDENT,1
oral care,категорийный,Отсутствует,ROCS,1
oral care,категорийный,Отсутствует,SPLAT,1
oral care,категорийный,Отсутствует,SYNERGETIC,1
oral care,категорийный,Отсутствует,Waterpik,1
oral care,категорийный,Отсутствует,Лесной бальзам,1
oral care,консультационный,Конкурент (консульт.),Elmex,2
oral care,консультационный,Конкурент (консульт.),PresiDENT,2
oral care,консультационный,Конкурент (консульт.),R.O.C.S.,2
oral care,консультационный,Конкурент (консульт.),Sensodyne,2
oral care,консультационный,Конкурент (консульт.),Colgate,1
oral care,консультационный,Конкурент (консульт.),LACALUT,1
oral care,консультационный,Конкурент (консульт.),Lacalut,1
oral care,консультационный,Конкурент (консульт.),Splat,1
oral care,консультационный,Не лидирует,R.O.C.S.,1
oral care,консультационный,Не лидирует,Sensodyne,1
oral care,консультационный,Не лидирует,Splat,1
oral care,консультационный,Отсутствует,Elmex,3
oral care,консультационный,Отсутствует,LACALUT,2
oral care,консультационный,Отсутствует,Lacalut,2
oral care,консультационный,Отсутствует,PresiDENT,2
oral care,консультационный,Отсутствует,R.O.C.S.,2
oral care,консультационный,Отсутствует,Sensodyne,2
oral care,консультационный,Отсутствует,Colgate,1
oral care,консультационный,Отсутствует,PresiDent,1
oral care,консультационный,Отсутствует,SPLAT,1
oral care,консультационный,Отсутствует,Splat,1
oral care,сравнительный,Конкурент (сравнит.),Xiaomi,2
oral care,сравнительный,Конкурент (сравнит.),Acleon,1
oral care,сравнительный,Конкурент (сравнит.),Philips,1
oral care,сравнительный,Конкурент (сравнит.),Revyline,1
oral care,сравнительный,Не лидирует,Acleon,1
oral care,сравнительный,Не лидирует,B.Well,1
oral care,сравнительный,Не лидирует,CS Medica,1
oral care,сравнительный,Не лидирует,GEZON,1
oral care,сравнительный,Не лидирует,Philips,1
oral care,сравнительный,Не лидирует,Polaris,1
oral care,сравнительный,Не лидирует,Revyline,1
oral care,сравнительный,Не лидирует,Xiaomi,1
oral care,сравнительный,Отсутствует,Philips,1
oral care,сравнительный,Отсутствует,Revyline,1
oral care,сравнительный,Отсутствует,Splat,1
oral care,сравнительный,Отсутствует,Xiaomi,1
