конкурент,домен,тип_источника,n_запросов,n_hits
Ecolatier,ozon.ru,маркетплейс,2,3
Ecolatier,wildberries.ru,маркетплейс,2,2
Ecolatier,axioneprofessional.ru,сайт бренда,1,1
Ecolatier,lady.mail.ru,обзор,1,1
Ecolatier,lavka.yandex.ru,маркетплейс,1,1
Ecolatier,rivegauche.ru,обзор,1,1
Ecolatier,vkusvill.ru,маркетплейс,1,1
Elmex,market.yandex.ru,маркетплейс,3,3
Elmex,health.mail.ru,обзор,2,2
Elmex,kp.ru,обзор,2,2
Elmex,ozon.ru,маркетплейс,2,2
Elmex,stolichki.ru,перекуп,2,2
Elmex,dentistpro.ru,экспертный ресурс,1,1
Elmex,doctorslon.ru,перекуп,1,1
Elmex,dtf.ru,обзор,1,1
Elmex,goldapple.ru,обзор,1,1
Elmex,gorzdrav.org,перекуп,1,1
Elmex,irecommend.ru,форум,1,1
Elmex,mila.by,перекуп,1,1
Elmex,ozon.by,маркетплейс,1,1
Elmex,podrygka.ru,перекуп,1,1
Elmex,rigla.ru,перекуп,1,1
Elmex,stolichki.ru,обзор,1,1
Elmex,stommarket.ru,перекуп,1,1
Elmex,tomas.by,маркетплейс,1,1
Elmex,uteka.ru,экспертный ресурс,1,1
Elmex,zdravcity.ru,обзор,1,1
Estel,altaitmag.ru,перекуп,1,1
Estel,bestproducts.mail.ru,обзор,1,1
Estel,letu.ru,перекуп,1,1
Estel,market.yandex.ru,маркетплейс,1,1
Estel,ozon.ru,маркетплейс,1,2
Estel,wildberries.ru,маркетплейс,1,1
Exxe,letu.ru,маркетплейс,1,1
Exxe,market.yandex.ru,маркетплейс,1,2
Exxe,ozon.ru,маркетплейс,1,1
Exxe,wildberries.ru,маркетплейс,1,2
GEZON,doctorslon.ru,экспертный ресурс,1,1
GEZON,dtf.ru,обзор,1,1
GEZON,vc.ru,обзор,1,1
Garnier Fructis,apteka.ru,перекуп,1,1
Garnier Fructis,goldapple.ru,перекуп,1,1
Garnier Fructis,ozon.ru,маркетплейс,1,1
Garnier Fructis,poryadok.ru,перекуп,1,1
Garnier Fructis,wildberries.ru,маркетплейс,1,1
Goo.N,kp.ru,обзор,1,1
Goo.N,markakachestva.ru,обзор,1,1
Goo.N,vc.ru,обзор,1,1
Grass,ozon.ru,маркетплейс,2,2
Grass,wildberries.ru,маркетплейс,2,2
Grass,apteka.ru,перекуп,1,1
Grass,helas.ru,перекуп,1,1
Grass,market.yandex.ru,маркетплейс,1,1
Grass,poryadok.ru,перекуп,1,1
HAIR LOGIC,altaitmag.ru,перекуп,1,1
HAIR LOGIC,letu.ru,перекуп,1,1
HAIR LOGIC,market.yandex.ru,маркетплейс,1,1
HAIR LOGIC,ozon.ru,маркетплейс,1,2
HAIR LOGIC,wildberries.ru,маркетплейс,1,1
HAPPY HAIR Professional,dzen.ru,обзор,1,1
HAPPY HAIR Professional,kp.ru,обзор,1,1
HAPPY HAIR Professional,lady.mail.ru,обзор,1,1
HAPPY HAIR Professional,randewoo.ru,обзор,1,1
Hair Company Professional,market.yandex.ru,маркетплейс,1,1
Hair Company Professional,ozon.ru,маркетплейс,1,1
Hair Company Professional,rivegauche.ru,перекуп,1,1
HanaMaru,babyblog.ru,форум,1,1
HanaMaru,forum.baby.ru,форум,1,1
HanaMaru,vc.ru,обзор,1,1
Hartmann,comfer.ru,перекуп,1,1
Hartmann,market.yandex.ru,маркетплейс,1,1
Hartmann,ozon.ru,маркетплейс,1,1
Helen Harper,ozon.ru,маркетплейс,3,3
Helen Harper,wildberries.ru,маркетплейс,3,3
Helen Harper,market.yandex.ru,маркетплейс,2,2
Helen Harper,akusherstvo.ru,экспертный ресурс,1,1
Helen Harper,babyblog.ru,обзор,1,1
Helen Harper,detmir.ru,маркетплейс,1,1
Helen Harper,dtf.ru,обзор,1,1
Helen Harper,dzen.ru,обзор,1,1
Helen Harper,otvet.mail.ru,форум,1,1
Helen Harper,uteka.ru,перекуп,1,1
Helen Harper,zdravcity.ru,перекуп,1,1
Hiya,kp.ru,обзор,1,1
Hiya,markakachestva.ru,обзор,1,1
Hiya,vc.ru,обзор,1,1
Huggies,deti.mail.ru,обзор,21,22
Huggies,vc.ru,обзор,19,19
Huggies,ozon.ru,маркетплейс,17,19
Huggies,market.yandex.ru,маркетплейс,15,16
Huggies,detmir.ru,маркетплейс,8,8
Huggies,dtf.ru,обзор,8,8
Huggies,wildberries.ru,маркетплейс,8,9
Huggies,pikabu.ru,обзор,7,7
Huggies,huggies.ru,сайт бренда,5,5
Huggies,kp.ru,обзор,5,6
Huggies,pikabu.ru,форум,5,5
Huggies,t-j.ru,обзор,5,5
Huggies,apteka.ru,перекуп,3,3
Huggies,bestproducts.mail.ru,обзор,3,3
Huggies,dzen.ru,обзор,3,4
Huggies,megamarket.ru,маркетплейс,3,4
Huggies,tekhnik.top,обзор,3,3
Huggies,tenchat.ru,обзор,3,3
Huggies,babyblog.ru,обзор,2,2
Huggies,babyblog.ru,форум,2,3
Huggies,edadeal.ru,обзор,2,2
Huggies,irecommend.ru,форум,2,2
Huggies,kmmedcenter.com,экспертный ресурс,2,2
Huggies,markakachestva.ru,обзор,2,2
Huggies,medaboutme.ru,экспертный ресурс,2,2
Huggies,momlovesbest.com,обзор,2,2
Huggies,akusherstvo.ru,экспертный ресурс,1,1
Huggies,aptekiplus.ru,перекуп,1,1
Huggies,auchan.ru,маркетплейс,1,1
Huggies,baby.ru,обзор,1,1
Huggies,c9m.ru,экспертный ресурс,1,1
Huggies,forum.baby.ru,форум,1,1
Huggies,goldapple.ru,маркетплейс,1,1
Huggies,gorzdrav.org,перекуп,1,1
Huggies,health.mail.ru,обзор,1,1
Huggies,huggies.az,сайт бренда,1,1
Huggies,huggies.kg,сайт бренда,1,1
Huggies,lavka.yandex.ru,маркетплейс,1,1
Huggies,lenta.com,перекуп,1,1
Huggies,markakakachestva.ru,обзор,1,1
Huggies,megapteka.ru,перекуп,1,1
Huggies,mk.ru,обзор,1,1
Huggies,nappyclub.ru,перекуп,1,1
Huggies,nappyclub.ru,сайт бренда,1,1
Huggies,ok.ru,форум,1,1
Huggies,online.metro-cc.ru,перекуп,1,1
Huggies,onlinetrade.ru,перекуп,1,1
Huggies,otvet.mail.ru,форум,1,1
Huggies,otzovik.com,форум,1,1
Huggies,planetazdorovo.ru,перекуп,1,1
Huggies,promo.habr.com,обзор,1,1
Huggies,promokod.pikabu.ru,перекуп,1,1
Huggies,promokodi.net,перекуп,1,1
Huggies,promokodus.com,перекуп,1,1
Huggies,reviews.yandex.ru,форум,1,1
Huggies,sima-land.ru,перекуп,1,1
Huggies,tanoshi-club.com,обзор,1,1
Huggies,uteka.ru,перекуп,1,1
Huggies,vk.com,обзор,1,1
Huggies,vk.com,форум,1,1
Huggies,votonia.ru,перекуп,1,1
Huggies,www.huggies.uz,сайт бренда,1,1
Huggies,www.rbc.ru,обзор,1,1
Huggies,zdravcity.ru,перекуп,1,1
IRIDAPRO CLEAN,apteka.ru,перекуп,1,1
IRIDAPRO CLEAN,goldapple.ru,перекуп,1,1
IRIDAPRO CLEAN,ozon.ru,маркетплейс,1,1
IRIDAPRO CLEAN,poryadok.ru,перекуп,1,1
IRIDAPRO CLEAN,wildberries.ru,маркетплейс,1,1
Ichthyonella,dtf.ru,обзор,1,1
Ichthyonella,irecommend.ru,форум,1,1
Ichthyonella,kp.ru,обзор,1,1
Ichthyonella,ozon.ru,маркетплейс,1,1
Ichthyonella,wildberries.ru,маркетплейс,1,1
Insight Professional,apteka.ru,перекуп,1,1
Insight Professional,goldapple.ru,маркетплейс,1,1
Insight Professional,irecommend.ru,форум,1,1
JOONIES,vc.ru,обзор,3,3
JOONIES,tekhnik.top,обзор,2,2
JOONIES,tenchat.ru,обзор,2,2
JOONIES,babyblog.ru,форум,1,1
JOONIES,forum.baby.ru,форум,1,1
JUST HAIR,goldapple.ru,перекуп,1,1
JUST HAIR,letu.ru,перекуп,1,1
JUST HAIR,market.yandex.ru,маркетплейс,1,1
JUST HAIR,ozon.ru,маркетплейс,1,1
JUST HAIR,wildberries.ru,маркетплейс,1,1
Joonies,deti.mail.ru,обзор,10,12
Joonies,vc.ru,обзор,10,11
Joonies,t-j.ru,обзор,9,11
Joonies,pikabu.ru,обзор,4,5
Joonies,pikabu.ru,форум,4,5
Joonies,dtf.ru,обзор,3,4
Joonies,kp.ru,обзор,3,4
Joonies,market.yandex.ru,маркетплейс,3,3
Joonies,ozon.ru,маркетплейс,2,2
Joonies,www.rbc.ru,обзор,2,2
Joonies,babyblog.ru,форум,1,1
Joonies,bestproducts.mail.ru,обзор,1,1
Joonies,detmir.ru,маркетплейс,1,1
Joonies,edadeal.ru,обзор,1,1
Joonies,health.mail.ru,обзор,1,1
Joonies,huggies.ru,сайт бренда,1,1
Joonies,irecommend.ru,форум,1,1
Joonies,joonies.ru,сайт бренда,1,1
Joonies,megapteka.ru,перекуп,1,2
Joonies,planetazdorovo.ru,перекуп,1,1
Joonies,vsekroham.ru,перекуп,1,1
Joonies,wildberries.ru,маркетплейс,1,1
Junion Care,deti.mail.ru,обзор,1,1
Junion Care,pikabu.ru,форум,1,1
Junion Care,t-j.ru,обзор,1,1
KANS,apteka.ru,перекуп,1,1
KANS,goldapple.ru,маркетплейс,1,1
KANS,irecommend.ru,форум,1,1
KIDDO,apteka.ru,перекуп,1,1
KIDDO,comfer.ru,перекуп,1,1
KIDDO,market.yandex.ru,маркетплейс,1,1
KIDDO,www.ozon.ru,маркетплейс,1,1
KIOSHI,babyblog.ru,форум,1,1
KIOSHI,forum.baby.ru,форум,1,1
KIOSHI,goldapple.ru,маркетплейс,1,1
KIOSHI,market.yandex.ru,маркетплейс,1,1
KIOSHI,ozon.ru,маркетплейс,1,1
KIOSHI,vc.ru,обзор,1,1
KIOSHI,wildberries.ru,маркетплейс,1,1
KLEONA,kleona.com,сайт бренда,1,1
KLEONA,letu.ru,перекуп,1,1
KLEONA,market.yandex.ru,маркетплейс,1,1
KLEONA,uteka.ru,перекуп,1,1
Kaaral,kp.ru,обзор,1,1
Kaaral,vc.ru,обзор,1,1
Kapous,market.yandex.ru,маркетплейс,2,3
Kapous,ozon.ru,маркетплейс,2,4
Kapous,altaitmag.ru,перекуп,1,1
Kapous,letu.ru,перекуп,1,1
Kapous,reviews.yandex.ru,маркетплейс,1,1
Kapous,wildberries.ru,маркетплейс,1,1
Kerastase,dtf.ru,обзор,1,1
Kerastase,kp.ru,обзор,1,1
Kerastase,lady.mail.ru,обзор,1,1
Kerasys,dtf.ru,обзор,1,1
Kerasys,irecommend.ru,форум,1,1
Kerasys,kp.ru,обзор,1,1
Kerasys,ozon.ru,маркетплейс,1,1
Kerasys,wildberries.ru,маркетплейс,1,1
Kiddy,bestproducts.mail.ru,обзор,2,2
Kiddy,deti.mail.ru,обзор,2,2
Kiddy,vc.ru,обзор,1,1
Kleona,apteka.ru,перекуп,1,1
Kleona,goldapple.ru,маркетплейс,1,1
Kleona,irecommend.ru,форум,1,1
L'Occitane,lady.mail.ru,обзор,2,2
L'Occitane,lavka.yandex.ru,маркетплейс,1,1
L'Occitane,market.yandex.ru,маркетплейс,1,1
L'Occitane,ozon.ru,маркетплейс,1,1
L'Occitane,rivegauche.ru,обзор,1,1
L'Occitane,wildberries.ru,маркетплейс,1,1
L'Occitane Homme,market.yandex.ru,маркетплейс,1,1
L'Occitane Homme,ozon.ru,маркетплейс,1,1
L'Occitane Homme,parfum-lider.ru,перекуп,1,1
L'Occitane Homme,rivegauche.ru,перекуп,1,1
L'Occitane Homme,wildberries.ru,маркетплейс,1,1
L'Oreal,lady.mail.ru,обзор,6,6
L'Oreal,market.yandex.ru,маркетплейс,4,4
L'Oreal,kp.ru,обзор,3,3
L'Oreal,dtf.ru,обзор,2,2
L'Oreal,ozon.ru,маркетплейс,2,2
L'Oreal,akrasoty.ru,обзор,1,1
L'Oreal,angelprof.ru,сайт бренда,1,1
L'Oreal,dzen.ru,обзор,1,1
L'Oreal,kapous.ru,обзор,1,1
L'Oreal,letu.ru,обзор,1,1
L'Oreal,letu.ru,перекуп,1,2
L'Oreal,media.halvacard.ru,обзор,1,1
L'Oreal,vc.ru,обзор,1,1
L'Oreal,wildberries.ru,маркетплейс,1,1
LACALUT,health.mail.ru,обзор,2,2
LACALUT,24stoma.ru,экспертный ресурс,1,1
LACALUT,dentistpro.ru,экспертный ресурс,1,1
LACALUT,dtf.ru,обзор,1,1
LACALUT,kp.ru,обзор,1,1
LACALUT,zdravcity.ru,обзор,1,1
LADOR,kleona.com,сайт бренда,1,1
LADOR,letu.ru,перекуп,1,1
LADOR,market.yandex.ru,маркетплейс,1,1
LADOR,uteka.ru,перекуп,1,1
LIBREDERM,lady.mail.ru,обзор,1,1
LIBREDERM,media.halvacard.ru,обзор,1,1
LIBREDERM,stolichki.ru,перекуп,1,1
LIBREDERM,www.letu.ru,перекуп,1,1
LOVULAR,market.yandex.ru,маркетплейс,1,1
LOVULAR,ozon.ru,маркетплейс,1,1
LOVULAR,wildberries.ru,маркетплейс,1,1
La Roche-Posay,lady.mail.ru,обзор,1,1
La Roche-Posay,media.halvacard.ru,обзор,1,1
La Roche-Posay,stolichki.ru,перекуп,1,1
La Roche-Posay,www.letu.ru,перекуп,1,1
Lacalut,kp.ru,обзор,3,3
Lacalut,apteka.ru,перекуп,2,2
Lacalut,market.yandex.ru,маркетплейс,2,3
Lacalut,zdravcity.ru,перекуп,2,3
Lacalut,health.mail.ru,обзор,1,1
Lacalut,hoff.ru,обзор,1,1
Lacalut,ozon.ru,маркетплейс,1,1
Lacalut,poryadok.ru,перекуп,1,1
Lacalut,rigla.ru,перекуп,1,1
Lacalut,stomatkristall.ru,экспертный ресурс,1,1
Lacalut,vc.ru,обзор,1,1
Lacalut,www.kp.ru,обзор,1,1
Lador,altaitmag.ru,перекуп,1,1
Lador,letu.ru,перекуп,1,1
Lador,market.yandex.ru,маркетплейс,1,1
Lador,ozon.ru,маркетплейс,1,2
Lador,wildberries.ru,маркетплейс,1,1
Lamonnet Premium,market.yandex.ru,маркетплейс,1,1
Lamonnet Premium,ozon.ru,маркетплейс,1,1
Lamonnet Premium,parfum-lider.ru,перекуп,1,1
Lamonnet Premium,rivegauche.ru,перекуп,1,1
Lamonnet Premium,wildberries.ru,маркетплейс,1,1
Librederm,kp.ru,обзор,1,1
Librederm,lady.mail.ru,обзор,1,1
Librederm,letu.ru,обзор,1,1
Librederm,nbcnews.com,обзор,1,1
Librederm,stolichki.ru,обзор,1,1
Likato Professional,goldapple.ru,маркетплейс,1,1
Likato Professional,market.yandex.ru,маркетплейс,1,1
Likato Professional,ozon.ru,маркетплейс,1,1
Likato Professional,rivegauche.ru,маркетплейс,1,1
Likato Professional,wildberries.ru,маркетплейс,1,1
Lion,letu.ru,маркетплейс,1,1
Lion,market.yandex.ru,маркетплейс,1,2
Lion,ozon.ru,маркетплейс,1,1
Lion,wildberries.ru,маркетплейс,1,2
Little Art,detmir.ru,маркетплейс,1,1
Little Art,market.yandex.ru,маркетплейс,1,1
Little Art,megamarket.ru,маркетплейс,1,1
Little Art,reviews.yandex.ru,форум,1,1
Lovature/Лавейча,apteka-april.ru,перекуп,1,1
Lovature/Лавейча,apteka.ru,перекуп,1,1
Lovature/Лавейча,planetazdorovo.ru,перекуп,1,1
Lovular,deti.mail.ru,обзор,12,12
Lovular,bestproducts.mail.ru,обзор,10,10
Lovular,ozon.ru,маркетплейс,3,3
Lovular,vc.ru,обзор,3,3
Lovular,markakachestva.ru,обзор,2,2
Lovular,market.yandex.ru,маркетплейс,2,2
Lovular,pikabu.ru,обзор,2,2
Lovular,baby.ru,обзор,1,1
Lovular,babyblog.ru,обзор,1,1
Lovular,babyblog.ru,форум,1,1
Lovular,ccd77.ru,перекуп,1,1
Lovular,health.mail.ru,обзор,1,1
Lovular,kp.ru,обзор,1,1
Lovular,onlinetrade.ru,перекуп,1,1
Lovular,vk.com,обзор,1,1
Lovular,wildberries.ru,маркетплейс,1,1
L’Oréal,dtf.ru,обзор,1,1
L’Oréal,kp.ru,обзор,1,1
L’Oréal,lady.mail.ru,обзор,1,1
L’Oréal,thepoizon.ru,обзор,1,1
MANU,detmir.ru,маркетплейс,1,1
MANU,megamarket.ru,маркетплейс,1,1
MANU,ozon.ru,маркетплейс,1,1
MASIL,hollyshop.ru,перекуп,1,1
MASIL,ozon.ru,маркетплейс,1,1
MASIL,parfum-lider.ru,перекуп,1,1
MIXIT,dtf.ru,обзор,1,1
MIXIT,irecommend.ru,форум,1,1
MIXIT,kp.ru,обзор,1,1
MIXIT,ozon.ru,маркетплейс,1,1
MIXIT,wildberries.ru,маркетплейс,1,1
MOMI,apteka.ru,перекуп,1,1
MOMI,gorzdrav.org,перекуп,1,1
MOMI,ozon.ru,маркетплейс,1,1
MOMI,uteka.ru,перекуп,1,1
MOMI,wildberries.ru,маркетплейс,1,1
