категория,тип_запроса,конкурент,домен,тип_источника,n_запросов,n_hits
baby care,консультационный,Joonies,vc.ru,обзор,6,6
baby care,консультационный,Joonies,deti.mail.ru,обзор,5,5
baby care,консультационный,Joonies,kp.ru,обзор,2,3
baby care,консультационный,Joonies,pikabu.ru,обзор,2,2
baby care,консультационный,Joonies,pikabu.ru,форум,2,2
baby care,консультационный,Joonies,babyblog.ru,форум,1,1
baby care,консультационный,Joonies,detmir.ru,маркетплейс,1,1
baby care,консультационный,Joonies,dtf.ru,обзор,1,1
baby care,консультационный,Joonies,edadeal.ru,обзор,1,1
baby care,консультационный,Joonies,health.mail.ru,обзор,1,1
baby care,консультационный,Joonies,irecommend.ru,форум,1,1
baby care,консультационный,Joonies,joonies.ru,сайт бренда,1,1
baby care,консультационный,Joonies,megapteka.ru,перекуп,1,1
baby care,консультационный,KIOSHI,babyblog.ru,форум,1,1
baby care,консультационный,KIOSHI,forum.baby.ru,форум,1,1
baby care,консультационный,KIOSHI,vc.ru,обзор,1,1
baby care,консультационный,Kiddy,bestproducts.mail.ru,обзор,1,1
baby care,консультационный,Kiddy,deti.mail.ru,обзор,1,1
baby care,консультационный,Lovular,bestproducts.mail.ru,обзор,2,2
baby care,консультационный,Lovular,deti.mail.ru,обзор,2,2
baby care,консультационный,Lovular,health.mail.ru,обзор,1,1
baby care,консультационный,Lovular,kp.ru,обзор,1,1
baby care,консультационный,Lovular,markakachestva.ru,обзор,1,1
baby care,консультационный,Manu,detmir.ru,маркетплейс,1,1
baby care,консультационный,Manu,megamarket.ru,маркетплейс,1,1
baby care,консультационный,Manu,otzovik.com,форум,1,1
baby care,консультационный,Mepsi,bestproducts.mail.ru,обзор,1,1
baby care,консультационный,Mepsi,deti.mail.ru,обзор,1,1
baby care,консультационный,Merries,vc.ru,обзор,12,12
baby care,консультационный,Merries,deti.mail.ru,обзор,8,8
baby care,консультационный,Merries,dtf.ru,обзор,3,3
baby care,консультационный,Merries,t-j.ru,обзор,3,3
baby care,консультационный,Merries,health.mail.ru,обзор,2,2
baby care,консультационный,Merries,pikabu.ru,обзор,2,2
baby care,консультационный,Merries,pikabu.ru,форум,2,2
baby care,консультационный,Merries,babyblog.ru,форум,1,1
baby care,консультационный,Merries,edadeal.ru,обзор,1,1
baby care,консультационный,Merries,forum.baby.ru,форум,1,1
baby care,консультационный,Merries,kp.ru,обзор,1,1
baby care,консультационный,Merries,markakachestva.ru,обзор,1,1
baby care,консультационный,Merries,megapteka.ru,перекуп,1,1
baby care,консультационный,Merries,sima-land.ru,перекуп,1,1
baby care,консультационный,Merries,tekhnik.top,обзор,1,1
baby care,консультационный,Merries,tenchat.ru,обзор,1,1
baby care,консультационный,Merries,www.kp.ru,обзор,1,1
baby care,консультационный,Merries,www.sima-land.ru,обзор,1,1
baby care,консультационный,Momi,deti.mail.ru,обзор,4,4
baby care,консультационный,Momi,bestproducts.mail.ru,обзор,1,1
baby care,консультационный,Momi,detmir.ru,маркетплейс,1,1
baby care,консультационный,Momi,health.mail.ru,обзор,1,1
baby care,консультационный,Momi,megamarket.ru,маркетплейс,1,1
baby care,консультационный,Momi,ozon.ru,маркетплейс,1,1
baby care,консультационный,Momi,pikabu.ru,форум,1,1
baby care,консультационный,Momi,vc.ru,обзор,1,1
baby care,консультационный,Moony,kp.ru,обзор,1,2
baby care,консультационный,Moony,tekhnik.top,обзор,1,1
baby care,консультационный,Mustela,boobl-goom.ru,обзор,1,1
baby care,консультационный,Mustela,mustela-ru.com,сайт бренда,1,1
baby care,консультационный,Seni,edadeal.ru,обзор,1,1
baby care,консультационный,Seni,market.yandex.ru,маркетплейс,1,1
baby care,консультационный,Seni,planetazdorovo.ru,перекуп,1,1
baby care,консультационный,Seni,wildberries.ru,маркетплейс,1,1
baby care,консультационный,Tena,health.mail.ru,обзор,1,1
baby care,консультационный,Tena,megapteka.ru,перекуп,1,1
baby care,консультационный,Tena,vc.ru,обзор,1,1
baby care,консультационный,TerezaMed,deti.mail.ru,обзор,1,1
baby care,консультационный,TerezaMed,health.mail.ru,обзор,1,1
baby care,консультационный,TokiBaby,kp.ru,обзор,1,2
baby care,консультационный,TokiBaby,tekhnik.top,обзор,1,1
baby care,консультационный,YokoSun,vc.ru,обзор,8,8
baby care,консультационный,YokoSun,deti.mail.ru,обзор,5,5
baby care,консультационный,YokoSun,pikabu.ru,форум,3,3
baby care,консультационный,YokoSun,t-j.ru,обзор,3,3
baby care,консультационный,YokoSun,health.mail.ru,обзор,2,2
baby care,консультационный,YokoSun,megapteka.ru,перекуп,2,2
baby care,консультационный,YokoSun,pikabu.ru,обзор,2,2
baby care,консультационный,YokoSun,babyblog.ru,форум,1,1
baby care,консультационный,YokoSun,detmir.ru,маркетплейс,1,1
baby care,консультационный,YokoSun,dtf.ru,обзор,1,1
baby care,консультационный,YokoSun,forum.baby.ru,форум,1,1
baby care,консультационный,YokoSun,irecommend.ru,форум,1,1
baby care,консультационный,YokoSun,sima-land.ru,перекуп,1,1
baby care,консультационный,YokoSun,tekhnik.top,обзор,1,1
baby care,консультационный,YokoSun,tenchat.ru,обзор,1,1
baby care,консультационный,бренды не упомянуты,edadeal.ru,обзор,1,1
baby care,консультационный,бренды не упомянуты,megapteka.ru,перекуп,1,1
baby care,сравнительный,BRAND FOR MY SON,deti.mail.ru,обзор,1,1
baby care,сравнительный,BRAND FOR MY SON,www.huggies.uz,сайт бренда,1,1
baby care,сравнительный,Huggies,deti.mail.ru,обзор,10,10
baby care,сравнительный,Huggies,vc.ru,обзор,3,3
baby care,сравнительный,Huggies,dtf.ru,обзор,2,2
baby care,сравнительный,Huggies,dzen.ru,обзор,2,2
baby care,сравнительный,Huggies,market.yandex.ru,маркетплейс,2,2
baby care,сравнительный,Huggies,megamarket.ru,маркетплейс,2,2
baby care,сравнительный,Huggies,ozon.ru,маркетплейс,2,2
baby care,сравнительный,Huggies,pikabu.ru,обзор,2,2
baby care,сравнительный,Huggies,baby.ru,обзор,1,1
baby care,сравнительный,Huggies,babyblog.ru,обзор,1,1
baby care,сравнительный,Huggies,babyblog.ru,форум,1,1
baby care,сравнительный,Huggies,bestproducts.mail.ru,обзор,1,1
baby care,сравнительный,Huggies,c9m.ru,экспертный ресурс,1,1
baby care,сравнительный,Huggies,edadeal.ru,обзор,1,1
baby care,сравнительный,Huggies,huggies.ru,сайт бренда,1,1
baby care,сравнительный,Huggies,markakachestva.ru,обзор,1,1
